Date,Open,High,Low,Close,Adj Close,Volume
04-11-2010,291,344.899994,291,342.549988,142.834488,479716245
08-11-2010,351.799988,355.899994,329.5,330.75,137.914169,46932779
09-11-2010,330.149994,333.399994,325,326.049988,135.954391,23741956
10-11-2010,325.399994,327.799988,320.049988,322.799988,134.599228,21057129
11-11-2010,323,336.950012,321.850006,328.549988,136.996826,26548372
12-11-2010,330,332.950012,318,320.149994,133.494232,15004107
15-11-2010,321.200012,322.899994,315.049988,317.200012,132.264206,9917395
16-11-2010,320,323.950012,316.100006,318.049988,132.618622,12100114
18-11-2010,319.600006,328.950012,310,326.899994,136.308838,23983896
19-11-2010,330.25,339.950012,328.100006,333.549988,139.081696,51723739
22-11-2010,336,337,315,333.350006,138.998322,11494521
23-11-2010,330.5,332.399994,317.5,320.149994,133.494232,13147667
24-11-2010,329.350006,329.350006,310,310.799988,129.595551,16243562
25-11-2010,314,318.350006,311.100006,313.200012,130.596298,6489260
26-11-2010,315,316,301,312.700012,130.387802,13657322
29-11-2010,311.399994,319.700012,308.200012,317.450012,132.368423,6493219
30-11-2010,315,319,312,317.25,132.285019,6050064
01-12-2010,317,322.5,315,320.950012,133.82782,5053942
02-12-2010,322.200012,325.950012,321.149994,324.850006,135.454041,6143344
03-12-2010,318.100006,325.700012,318.100006,321.950012,134.244797,2453815
06-12-2010,321,324.899994,318.5,320.399994,133.59848,2895539
07-12-2010,320.5,322.75,317.25,320,133.431686,3484977
08-12-2010,318.600006,322.700012,317.25,318.850006,132.952179,2877153
09-12-2010,318,320,309,313.200012,130.596298,5313081
10-12-2010,312,322,312,317.299988,132.305862,5799900
13-12-2010,318,324.350006,317,323.149994,134.745148,2809522
14-12-2010,324.450012,331,322.75,325.299988,135.641647,7075931
15-12-2010,325.600006,330,323,327.850006,136.704971,5380352
16-12-2010,326.75,327,317.399994,320.700012,133.723602,2893052
20-12-2010,323,323,315.049988,316,131.763809,2905355
21-12-2010,318.799988,318.799988,311.200012,313.299988,130.637955,4427901
22-12-2010,315.100006,319.700012,312.700012,314.049988,130.950684,5425074
23-12-2010,315.049988,315.950012,312,312.950012,130.492035,3326534
24-12-2010,313,313.899994,310.100006,312.149994,130.158447,1859093
27-12-2010,312.149994,314.299988,306.5,307.299988,128.136139,5273320
28-12-2010,308,309.950012,301,303.75,126.655861,8055446
29-12-2010,306.100006,311.399994,304.299988,310.25,129.366211,5772875
30-12-2010,311,311.600006,307,308.049988,128.448868,2643251
31-12-2010,309.5,316.450012,308.299988,314.75,131.242599,4960987
03-01-2011,315.5,318,314.549988,317.299988,132.305862,2929118
04-01-2011,318.899994,320,316.049988,319.200012,133.098145,2716995
05-01-2011,320,320,308.25,309.799988,129.178574,8555905
06-01-2011,311,313,308.5,309.100006,128.886688,2763146
07-01-2011,310,313.5,302.149994,309.100006,128.886688,2298583
10-01-2011,309.899994,310,302.100006,305.149994,127.239616,5413595
11-01-2011,306,312.950012,306,309.049988,128.865829,2781948
12-01-2011,309.899994,312.899994,306.25,308.5,128.636475,1181115
13-01-2011,309.399994,313.950012,307.5,310.450012,129.449615,2070696
14-01-2011,310.450012,315.5,307.950012,310.5,129.470444,2244505
17-01-2011,307.25,314,306.200012,313.149994,130.575424,1707118
18-01-2011,313.5,313.950012,308,311.149994,129.74147,844507
19-01-2011,311,312.700012,307.950012,309.399994,129.011765,1426048
20-01-2011,308.799988,319.200012,308.100006,315.700012,131.638733,6121175
21-01-2011,316.450012,316.450012,312,314.149994,130.992386,2413133
24-01-2011,314.899994,314.899994,309,310.450012,129.449615,1097986
25-01-2011,311,315.700012,308.549988,310,129.261932,2452476
27-01-2011,311,312.899994,307.200012,308.299988,128.553085,2455783
28-01-2011,307.049988,309.700012,303.049988,305.049988,127.197952,4236476
31-01-2011,302,307.5,300.549988,304.350006,126.906067,3673855
01-02-2011,305.5,309.850006,303.5,308.299988,128.553085,4863055
02-02-2011,310.100006,314.899994,308.549988,312.5,130.304382,3374631
03-02-2011,311,320,310.899994,317.350006,132.326736,4211492
04-02-2011,317.350006,318.100006,307,308.149994,128.490585,1688679
07-02-2011,309.399994,310.450012,304.149994,304.649994,127.031151,1799233
08-02-2011,306.899994,307.450012,296.200012,301.399994,125.675995,3841730
09-02-2011,302,307.850006,297,298.700012,124.550133,4490558
10-02-2011,300.100006,304,293.25,297.649994,124.112343,2690945
11-02-2011,298.100006,305,298,304.600006,127.010307,3292240
14-02-2011,306,307,300.100006,302.799988,126.25975,1942474
15-02-2011,304.5,307.850006,302,302.450012,126.113831,3035367
16-02-2011,304.25,304.450012,300.450012,301.100006,125.550873,1619527
17-02-2011,302.950012,306.399994,302,305.049988,127.197952,2752128
18-02-2011,303.899994,305.200012,300.100006,302.350006,127.535378,1990388
21-02-2011,301.5,303.899994,300,301.850006,127.324486,953044
22-02-2011,302.5,303.5,300.299988,301.350006,127.113579,1436876
23-02-2011,302.399994,302.399994,299,300.649994,126.818321,2131294
24-02-2011,301.399994,303,298.25,299.299988,126.24884,2899140
25-02-2011,300.100006,303,289,292.649994,123.443817,1964843
28-02-2011,299,331.75,296.100006,327.700012,138.228378,20923045
01-03-2011,325,339.899994,320.649994,338.600006,142.826172,7867356
03-03-2011,338,338,327.200012,329.049988,138.797836,4387230
04-03-2011,332.700012,334.950012,323.25,324.25,136.773148,1402888
07-03-2011,322,343.549988,318.399994,341,143.838486,7183263
08-03-2011,343,344.5,335.350006,337.25,142.256668,3110206
09-03-2011,339.799988,341.200012,336.049988,339.549988,143.226837,1603527
10-03-2011,339.799988,339.799988,329.75,334.299988,141.012314,1612997
11-03-2011,334.950012,335,328.100006,329.950012,139.17746,856545
14-03-2011,330.899994,335.75,327.049988,333.799988,140.801437,1128910
15-03-2011,329,342.899994,320.149994,338.450012,142.762863,4638465
16-03-2011,339.100006,347.899994,333.5,343.899994,145.061737,3717632
17-03-2011,342,347.5,338.5,342.950012,144.661011,1815524
18-03-2011,343.5,347,337.600006,344.399994,145.272675,2926170
21-03-2011,343.350006,349.899994,343.299988,347.149994,146.432663,3943734
22-03-2011,347.5,371.399994,347.399994,360,151.852951,9681241
23-03-2011,361,363.799988,352.049988,353.899994,149.279877,2695567
24-03-2011,353.899994,361.350006,353.899994,358.299988,151.135834,2324343
25-03-2011,360,362,356.549988,358.100006,151.051529,2203586
28-03-2011,359.850006,360,349.350006,350.950012,148.035522,1128268
29-03-2011,352,352,340.649994,346.25,146.05304,6481785
30-03-2011,347,350.5,340.100006,341.399994,144.007217,2449230
31-03-2011,342.399994,348.899994,341.399994,346.5,146.158478,3248352
01-04-2011,347,348.5,342.600006,346.899994,146.327209,2169798
04-04-2011,347.350006,360.950012,345.350006,355.950012,150.144608,2719239
