Date,Open,High,Low,Close,Adj Close,Volume
12-08-2002,38.724998,40,38.724998,39.700001,28.485001,212976
13-08-2002,39.75,40.387501,38.875,39.162498,28.099331,153576
14-08-2002,39.25,39.25,35.724998,36.462502,26.162071,822776
15-08-2002,36.462502,36.462502,36.462502,36.462502,26.162071,0
16-08-2002,36.275002,38,35.75,36.375,26.099289,811856
19-08-2002,36.674999,36.674999,35.137501,35.474998,25.45352,205880
20-08-2002,35.724998,38.724998,35.487499,36.462502,26.162071,3773624
21-08-2002,38.474998,39.200001,36.525002,38.25,27.444618,3011064
22-08-2002,39.512501,41.575001,39.3125,39.900002,28.628496,6732480
23-08-2002,40.25,43.625,39.762501,42.299999,30.350508,4841672
26-08-2002,42.974998,43.25,41.8125,42.150002,30.242889,2576912
27-08-2002,42.5,44.25,40.75,41.099998,29.489517,3694224
28-08-2002,40.974998,41.599998,40.287498,41.137501,29.516411,1674960
29-08-2002,40.887501,41.875,40.75,41.137501,29.516411,1236544
30-08-2002,41.262501,45.125,41.25,44.049999,31.606144,3762384
02-09-2002,44.75,45.974998,44.049999,44.5,31.929045,2389568
03-09-2002,44.75,44.9375,42,42.412498,30.431246,986784
04-09-2002,41.875,43.75,41.387501,43.337502,31.094927,1449856
05-09-2002,44.662498,44.862499,42.5,43.075001,30.906595,1061360
06-09-2002,43.25,43.25,41.012501,41.474998,29.75856,907472
09-09-2002,39.5,42.6875,39.5,40.9375,29.372908,880848
10-09-2002,40.9375,40.9375,40.9375,40.9375,29.372908,0
11-09-2002,41.162498,42.700001,41.162498,41.974998,30.117311,635936
12-09-2002,42.487499,43.224998,41.900002,42.1875,30.269785,781968
13-09-2002,40.712502,42.224998,40.637501,40.987499,29.408783,338264
16-09-2002,41.375,41.599998,39.875,40.1875,28.83478,288592
17-09-2002,40.912498,41.625,40.775002,41.362499,29.677856,462952
18-09-2002,41.125,41.25,39.75,40.087502,28.763041,315432
19-09-2002,39.75,41.075001,39.25,39.75,28.520864,490848
20-09-2002,38.325001,39.674999,38.162498,39.099998,28.054478,501072
23-09-2002,39.375,39.474998,38.275002,38.4375,27.579136,248504
24-09-2002,38.299999,38.299999,36.724998,37.137501,26.646389,267912
25-09-2002,36.275002,37.75,36,37.424999,26.852665,379544
26-09-2002,38.200001,38.612499,37.75,38.012501,27.274206,178136
27-09-2002,37.887501,39,37.887501,38.474998,27.606054,206288
30-09-2002,37.887501,38.474998,36.275002,37.075001,26.601559,202232
01-10-2002,37.25,37.75,36.125,36.762501,26.377325,240192
02-10-2002,36.762501,36.762501,36.762501,36.762501,26.377325,0
03-10-2002,37.25,39.75,37.25,37.75,27.085855,673264
04-10-2002,38.25,38.362499,37.125,37.512501,26.915445,258296
07-10-2002,37.762501,38,37.025002,37.349998,26.798857,110976
08-10-2002,37.462502,38.724998,37.25,38.362499,27.525333,227352
09-10-2002,38.5,39.112499,37.0625,37.387501,26.825769,277040
10-10-2002,38.5,38.5,36.637501,37.424999,26.852665,173224
11-10-2002,38.474998,38.9375,38.112499,38.212502,27.417709,192536
14-10-2002,38.924999,39,37.575001,37.9375,27.220385,152744
15-10-2002,37.9375,37.9375,37.9375,37.9375,27.220385,0
16-10-2002,42.775002,42.775002,37.775002,38.012501,27.274206,247760
17-10-2002,38.25,38.25,37.525002,38.012501,27.274206,144512
18-10-2002,38.75,39.924999,38.287498,38.8125,27.848215,512312
21-10-2002,39.724998,40.737499,39.25,39.412498,28.278711,646296
22-10-2002,39.75,39.75,37.75,37.987499,27.256268,229384
23-10-2002,38.25,38.700001,37.525002,37.8125,27.130695,153320
24-10-2002,38.224998,38.349998,36.900002,37.150002,26.655352,168744
25-10-2002,36.5,37.087502,36.275002,36.387501,26.108253,172296
28-10-2002,36.125,36.5,35.549999,35.849998,25.722599,134504
29-10-2002,35.75,36.450001,35.549999,36.162498,25.946815,143024
30-10-2002,36.5,37.4375,36.25,36.775002,26.38629,164320
31-10-2002,37,37.5,36.799999,37.349998,26.798857,118928
01-11-2002,37.525002,38.150002,36.762501,36.962502,26.520817,108792
04-11-2002,37.5,37.5,36.950001,37.237499,26.718142,56560
05-11-2002,36.887501,37.325001,36.599998,36.837502,26.431131,70288
06-11-2002,36.837502,36.837502,36.837502,36.837502,26.431131,0
07-11-2002,37.5,39.5,37.5,37.974998,27.247295,204880
08-11-2002,37.25,37.737499,37.025002,37.3125,26.771954,77664
11-11-2002,37.5,37.5,36.674999,36.75,26.368351,66568
12-11-2002,36.5,37.5,36.5,36.9375,26.502878,106864
13-11-2002,37.125,37.224998,36.424999,36.625,26.278662,106264
14-11-2002,37.200001,37.900002,36.637501,37.125,26.637424,211856
15-11-2002,37.950001,38.162498,37.5,37.924999,27.211424,154144
18-11-2002,38.25,38.737499,37.837502,38.3125,27.48946,217672
19-11-2002,38.3125,38.3125,38.3125,38.3125,27.48946,0
20-11-2002,38.25,39.875,38.25,39.575001,28.395302,406128
21-11-2002,40.3125,44.724998,40.3125,43,30.852762,2664024
22-11-2002,41.387501,45.174999,41.387501,42.337502,30.377434,1184016
25-11-2002,42.75,43.200001,41.75,42.262501,30.323603,428920
26-11-2002,42.625,43.450001,41.775002,42.012501,30.144213,367496
27-11-2002,42.75,42.75,40.887501,41.125,29.507435,301128
28-11-2002,41.525002,43.724998,41.512501,42.799999,30.709269,447680
29-11-2002,42.799999,42.799999,42.799999,42.799999,30.709269,0
02-12-2002,44.875,49,44.474998,47.387501,34.000839,1388680
03-12-2002,48.5,52.424999,46.775002,50.099998,35.947071,4082608
04-12-2002,49.224998,51.1875,47.762501,48.424999,34.745232,2594928
05-12-2002,48.125,51.112499,48.125,49.650002,35.624187,1720264
06-12-2002,50.5,51.674999,49.637501,50.950001,36.556931,1139968
