Date,Open,High,Low,Close,Adj Close,Volume
1998-11-27,3.550000,3.550000,2.710000,3.400000,2.257744,21000
1998-11-30,3.250000,3.300000,3.100000,3.210000,2.131576,132000
1998-12-01,3.290000,3.460000,3.220000,3.390000,2.251103,123500
1998-12-02,3.360000,3.440000,3.320000,3.390000,2.251103,75500
1998-12-03,3.440000,3.490000,3.370000,3.390000,2.251103,102000
1998-12-04,3.340000,3.410000,3.300000,3.390000,2.251103,71000
1998-12-07,3.380000,3.440000,3.350000,3.380000,2.244463,26000
1998-12-08,3.380000,3.400000,3.230000,3.240000,2.151497,32500
1998-12-09,3.290000,3.340000,3.230000,3.240000,2.151497,15000
1998-12-10,3.240000,3.270000,3.190000,3.200000,2.124935,36000
1998-12-11,3.220000,3.240000,3.120000,3.160000,2.098373,37500
1998-12-14,3.260000,3.260000,3.160000,3.180000,2.111654,18500
1998-12-15,3.200000,3.200000,3.150000,3.150000,2.091733,8500
1998-12-16,3.140000,3.160000,3.100000,3.130000,2.078453,43000
1998-12-17,3.030000,3.120000,3.030000,3.080000,2.045250,14000
1998-12-18,3.060000,3.120000,2.990000,3.000000,1.992127,72500
1998-12-21,3.150000,3.160000,3.050000,3.050000,2.025329,35500
1998-12-22,3.070000,3.070000,3.000000,3.060000,2.031969,22000
1998-12-23,3.040000,3.070000,3.000000,3.040000,2.018688,20000
1998-12-24,2.920000,3.060000,2.920000,3.000000,1.992127,29000
1998-12-25,3.000000,3.000000,3.000000,3.000000,1.992127,0
1998-12-28,3.000000,3.070000,3.000000,3.000000,1.992127,11000
1998-12-29,3.010000,3.100000,3.000000,3.050000,2.025329,24000
1998-12-30,3.130000,3.540000,3.130000,3.410000,2.264385,47000
1998-12-31,3.400000,3.400000,3.210000,3.240000,2.151497,48500
1999-01-01,3.320000,3.340000,3.230000,3.270000,2.171418,337500
1999-01-04,3.400000,3.540000,3.400000,3.410000,2.264385,50000
1999-01-05,3.360000,3.360000,3.170000,3.200000,2.124935,44000
1999-01-06,3.270000,3.270000,3.150000,3.200000,2.124935,47000
1999-01-07,3.200000,3.560000,3.200000,3.350000,2.224542,104000
1999-01-08,3.440000,3.550000,3.400000,3.410000,2.264385,220000
1999-01-11,3.600000,3.650000,3.410000,3.510000,2.330788,172500
1999-01-12,3.450000,3.600000,3.370000,3.430000,2.277665,47500
1999-01-13,3.410000,3.470000,3.400000,3.420000,2.271024,25500
1999-01-14,3.360000,3.400000,3.300000,3.360000,2.231182,9000
1999-01-15,3.400000,3.400000,3.130000,3.190000,2.118295,31000
1999-01-18,3.190000,3.260000,3.150000,3.260000,2.164778,9000
1999-01-19,3.350000,3.350000,3.250000,3.300000,2.191339,7500
1999-01-20,3.300000,3.300000,3.300000,3.300000,2.191339,0
1999-01-21,3.100000,3.260000,2.940000,3.250000,2.158138,10500
1999-01-22,3.300000,3.380000,3.220000,3.260000,2.164778,4500
1999-01-25,3.250000,3.260000,3.070000,3.260000,2.164778,15500
1999-01-26,3.260000,3.260000,3.260000,3.260000,2.164778,0
1999-01-27,3.200000,3.200000,3.120000,3.200000,2.124935,5000
1999-01-28,3.200000,3.280000,3.160000,3.160000,2.098373,8500
1999-01-29,3.200000,3.240000,3.020000,3.030000,2.012048,37000
1999-02-01,3.100000,3.120000,3.100000,3.100000,2.058531,7500
1999-02-02,3.200000,3.200000,3.020000,3.190000,2.118295,34500
1999-02-03,3.240000,3.250000,3.150000,3.170000,2.105014,60500
1999-02-04,3.200000,3.200000,3.100000,3.100000,2.058531,30000
1999-02-05,3.180000,3.200000,3.020000,3.100000,2.058531,27500
1999-02-08,3.100000,3.140000,3.100000,3.130000,2.078453,9500
1999-02-09,3.000000,3.100000,3.000000,3.060000,2.031969,9000
1999-02-10,3.190000,3.200000,3.000000,3.020000,2.005408,13000
1999-02-11,3.100000,3.100000,3.000000,3.060000,2.031969,23000
1999-02-12,3.000000,3.100000,3.000000,3.000000,1.992127,86500
1999-02-15,3.000000,3.000000,3.000000,3.000000,1.992127,3500
1999-02-16,3.110000,3.110000,3.010000,3.010000,1.998767,4000
1999-02-17,3.020000,3.080000,3.000000,3.020000,2.005408,3000
1999-02-18,2.950000,3.100000,2.950000,3.000000,1.992127,55000
1999-02-19,3.050000,3.050000,2.900000,3.000000,1.992127,47500
1999-02-22,3.100000,3.100000,2.800000,2.990000,1.985487,3500
1999-02-23,2.910000,2.910000,2.840000,2.880000,1.912442,12500
1999-02-24,2.820000,2.900000,2.800000,2.900000,1.925722,21000
1999-02-25,2.940000,2.960000,2.850000,2.850000,1.892520,12500
1999-02-26,2.900000,2.900000,2.840000,2.880000,1.912442,13500
1999-03-01,2.850000,2.870000,2.800000,2.840000,1.885880,50000
1999-03-02,2.840000,2.840000,2.840000,2.840000,1.885880,0
1999-03-03,3.040000,3.540000,3.040000,3.510000,2.330788,102500
1999-03-04,3.500000,3.500000,3.120000,3.320000,2.204620,284000
1999-03-05,3.490000,3.490000,3.200000,3.270000,2.171418,271000
1999-03-08,3.690000,3.690000,3.300000,3.300000,2.191339,212000
1999-03-09,3.590000,3.600000,3.200000,3.200000,2.124935,119000
1999-03-10,2.940000,3.200000,2.940000,3.150000,2.091733,19000
1999-03-11,3.100000,3.190000,3.000000,3.000000,1.992127,61500
1999-03-12,3.000000,3.050000,2.800000,2.890000,1.919082,69500
1999-03-15,3.020000,3.020000,2.900000,2.900000,1.925722,49500
1999-03-16,2.920000,3.020000,2.800000,2.840000,1.885880,66000
1999-03-17,2.990000,2.990000,2.820000,2.830000,1.879240,13500
1999-03-18,2.830000,2.830000,2.830000,2.830000,1.879240,0
1999-03-19,2.840000,2.850000,2.770000,2.790000,1.852678,67000
1999-03-22,2.900000,2.900000,2.780000,2.800000,1.859318,61500
1999-03-23,2.880000,2.880000,2.750000,2.830000,1.879240,45000
1999-03-24,2.800000,2.820000,2.740000,2.800000,1.859318,51500
1999-03-25,2.800000,2.800000,2.800000,2.800000,1.859318,0
1999-03-26,2.700000,2.760000,2.600000,2.620000,1.739791,53000
1999-03-29,2.620000,2.620000,2.620000,2.620000,1.739791,0
1999-03-30,2.750000,2.770000,2.600000,2.680000,1.779633,23000
1999-03-31,2.800000,2.860000,2.800000,2.800000,1.859318,7500
1999-04-01,2.650000,2.800000,2.650000,2.790000,1.852678,4500
1999-04-02,2.790000,2.790000,2.790000,2.790000,1.852678,0
1999-04-05,2.790000,2.800000,2.610000,2.650000,1.759712,9500
1999-04-06,2.740000,2.740000,2.610000,2.610000,1.733150,11500
