Date,Open,High,Low,Close,Adj Close,Volume
2001-07-02,2.402500,2.475000,2.400000,2.402500,2.225060,110800
2001-07-03,2.475000,2.475000,2.375000,2.400000,2.222745,77520
2001-07-04,2.425000,2.450000,2.387500,2.420000,2.241268,49360
2001-07-05,2.450000,2.472500,2.400000,2.415000,2.236637,62700
2001-07-06,2.425000,2.425000,2.350000,2.400000,2.222745,117800
2001-07-09,2.375000,2.425000,2.350000,2.380000,2.204222,142180
2001-07-10,2.352500,2.400000,2.300000,2.340000,2.167176,94600
2001-07-11,2.475000,2.475000,2.300000,2.300000,2.130130,77780
2001-07-12,2.325000,2.350000,2.300000,2.300000,2.130130,35400
2001-07-13,2.300000,2.395000,2.250000,2.250000,2.083823,80000
2001-07-16,2.250000,2.300000,2.225000,2.225000,2.060669,41900
2001-07-17,2.200000,2.300000,2.200000,2.257500,2.090770,89780
2001-07-18,2.250000,2.272500,2.105000,2.245000,2.079192,60800
2001-07-19,2.235000,2.250000,2.205000,2.227500,2.062985,69100
2001-07-20,2.200000,2.247500,2.177500,2.180000,2.018993,57060
2001-07-23,2.082500,2.200000,2.082500,2.200000,2.037516,2100
2001-07-24,1.775000,2.175000,1.775000,1.997500,1.849972,94120
2001-07-25,1.987500,2.120000,1.935000,2.082500,1.928694,144780
2001-07-26,2.100000,2.117500,2.032500,2.100000,1.944902,74480
2001-07-27,2.097500,2.125000,2.055000,2.115000,1.958794,94060
2001-07-30,2.005000,2.112500,2.005000,2.072500,1.919432,67840
2001-07-31,2.052500,2.125000,2.052500,2.100000,1.944902,55520
2001-08-01,2.102500,2.150000,2.100000,2.122500,1.965740,89700
2001-08-02,2.105000,2.125000,2.075000,2.110000,1.954163,37340
2001-08-03,2.150000,2.157500,2.100000,2.152500,1.993525,93360
2001-08-06,2.150000,2.162500,2.150000,2.150000,1.991209,2022020
2001-08-07,2.150000,2.175000,2.125000,2.140000,1.981947,126520
2001-08-08,2.155000,2.187500,2.130000,2.160000,2.000471,55400
2001-08-09,2.150000,2.170000,2.150000,2.165000,2.005101,38960
2001-08-10,2.157500,2.172500,2.150000,2.150000,1.991209,27680
2001-08-13,2.200000,2.200000,2.150000,2.150000,1.991209,21700
2001-08-14,2.175000,2.187500,2.150000,2.150000,1.991209,78620
2001-08-15,2.150000,2.150000,2.150000,2.150000,1.991209,0
2001-08-16,2.150000,2.195000,2.150000,2.155000,1.995839,84280
2001-08-17,2.150000,2.175000,2.150000,2.150000,1.991209,79700
2001-08-20,2.150000,2.170000,2.150000,2.150000,1.991209,15700
2001-08-21,2.150000,2.172500,2.150000,2.150000,1.991209,34900
2001-08-22,2.150000,2.150000,2.150000,2.150000,1.991209,0
2001-08-23,2.145000,2.167500,2.145000,2.150000,1.991209,64100
2001-08-24,2.150000,2.162500,2.150000,2.150000,1.991209,56960
2001-08-27,2.150000,2.172500,2.150000,2.162500,2.002785,55880
2001-08-28,2.150000,2.162500,2.150000,2.152500,1.993525,51600
2001-08-29,2.175000,2.175000,2.150000,2.152500,1.993525,26620
2001-08-30,2.150000,2.162500,2.150000,2.150000,1.991209,20160
2001-08-31,2.150000,2.175000,2.150000,2.155000,1.995839,72440
2001-09-03,2.192500,2.200000,2.150000,2.157500,1.998155,70200
2001-09-04,2.272500,2.272500,2.150000,2.150000,1.991209,21020
2001-09-05,2.150000,2.162500,2.150000,2.150000,1.991209,49560
2001-09-06,2.195000,2.195000,2.150000,2.150000,1.991209,75400
2001-09-07,2.150000,2.170000,2.150000,2.157500,1.998155,49240
2001-09-10,2.150000,2.170000,2.150000,2.150000,1.991209,53280
2001-09-11,2.150000,2.167500,2.125000,2.150000,1.991209,308500
2001-09-12,2.080000,2.080000,1.800000,1.887500,1.748096,237560
2001-09-13,1.925000,1.945000,1.887500,1.887500,1.748096,71820
2001-09-14,1.887500,1.887500,1.575000,1.605000,1.486461,106140
2001-09-17,1.500000,1.500000,1.325000,1.365000,1.264186,294160
2001-09-18,1.347500,1.637500,1.300000,1.607500,1.488776,156860
2001-09-19,1.605000,1.845000,1.602500,1.787500,1.655482,150040
2001-09-20,1.800000,1.825000,1.650000,1.727500,1.599913,96520
2001-09-21,1.727500,2.075000,1.727500,1.890000,1.750411,341000
2001-09-24,2.095000,2.095000,1.900000,2.000000,1.852287,229800
2001-09-25,2.000000,2.010000,2.000000,2.000000,1.852287,171660
2001-09-26,2.010000,2.045000,1.992500,2.005000,1.856918,129120
2001-09-27,2.010000,2.075000,2.000000,2.000000,1.852287,69200
2001-09-28,2.022500,2.025000,2.000000,2.002500,1.854603,92780
2001-10-01,2.000000,2.005000,2.000000,2.000000,1.852287,64280
2001-10-02,2.000000,2.000000,2.000000,2.000000,1.852287,0
2001-10-03,2.012500,2.015000,2.000000,2.000000,1.852287,48620
2001-10-04,2.002500,2.012500,2.000000,2.002500,1.854603,47900
2001-10-05,2.000000,2.020000,2.000000,2.017500,1.868495,34780
2001-10-08,1.900000,2.025000,1.900000,2.005000,1.856918,176340
2001-10-09,2.000000,2.085000,2.000000,2.025000,1.875441,66640
2001-10-10,2.000000,2.045000,2.000000,2.042500,1.891648,38840
2001-10-11,2.025000,2.050000,2.000000,2.010000,1.861549,39100
