Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.800000,5.800000,5.750000,5.750000,5.161458,4000
1996-01-02,5.800000,5.850000,5.700000,5.752500,5.163702,24000
1996-01-03,5.752500,5.750000,5.650000,5.700000,5.116577,22000
1996-01-04,5.650000,5.650000,5.550000,5.607500,5.033545,46000
1996-01-05,5.500000,5.550000,5.450000,5.455000,4.896654,20000
1996-01-08,5.455000,5.450000,5.400000,5.400000,4.847284,24000
1996-01-09,5.250000,5.400000,5.250000,5.397500,4.845039,46000
1996-01-10,5.397500,5.450000,5.300000,5.450000,4.892166,10000
1996-01-11,5.400000,5.500000,5.400000,5.500000,4.937048,14000
1996-01-12,5.500000,5.825000,5.650000,5.650000,5.071694,54000
1996-01-15,5.450000,5.450000,5.402500,5.427500,4.871968,10000
1996-01-16,5.427500,5.750000,5.450000,5.710000,5.125553,34000
1996-01-17,5.710000,5.647500,5.465000,5.465000,4.905631,6000
1996-01-18,5.375000,5.500000,5.327500,5.500000,4.937048,48000
1996-01-19,5.325000,5.422500,5.300000,5.415000,4.860748,46000
1996-01-22,5.415000,5.500000,5.350000,5.500000,4.937048,302000
1996-01-23,5.500000,5.400000,5.050000,5.087500,4.566770,32000
1996-01-24,5.087500,5.322500,5.102500,5.322500,4.777716,18000
1996-01-25,5.322500,5.300000,5.000000,5.000000,4.488226,34000
1996-01-26,5.000000,5.000000,5.000000,5.000000,4.488226,0
1996-01-29,5.000000,5.125000,5.050000,5.125000,4.600431,52000
1996-01-30,5.125000,5.247500,5.127500,5.225000,4.690195,58000
1996-01-31,5.250000,5.400000,5.200000,5.327500,4.782203,44000
1996-02-01,5.250000,5.500000,5.250000,5.450000,4.892166,30000
1996-02-02,5.750000,5.775000,5.652500,5.750000,5.161458,44000
1996-02-05,5.750000,5.947500,5.702500,5.707500,5.123308,26000
1996-02-06,5.725000,5.850000,5.600000,5.725000,5.139019,46000
1996-02-07,5.725000,5.700000,5.400000,5.510000,4.946024,48000
1996-02-08,5.650000,5.675000,5.527500,5.545000,4.977442,44000
1996-02-09,5.750000,6.125000,5.750000,6.125000,5.498075,138000
1996-02-12,6.125000,6.550000,6.100000,6.405000,5.749416,204000
1996-02-13,6.302500,6.447500,6.252500,6.300000,5.655165,150000
1996-02-14,6.300000,6.692500,6.500000,6.667500,5.985047,126000
1996-02-15,6.667500,6.650000,6.377500,6.630000,5.951386,2582000
1996-02-16,6.630000,6.607500,6.262500,6.577500,5.904260,5558000
1996-02-19,6.577500,6.345000,6.252500,6.255000,5.614769,40000
1996-02-20,6.255000,6.287500,6.205000,6.250000,5.610282,142000
1996-02-21,6.250000,6.250000,6.250000,6.250000,5.610282,0
1996-02-22,6.250000,6.300000,6.225000,6.225000,5.587841,26000
1996-02-23,6.205000,6.205000,6.100000,6.100000,5.475635,20000
1996-02-26,6.200000,6.250000,6.105000,6.212500,5.576620,48000
1996-02-27,6.212500,6.100000,6.000000,6.100000,5.475635,32000
1996-02-28,6.100000,6.150000,6.000000,6.000000,5.385870,14000
1996-02-29,6.000000,6.000000,5.925000,6.000000,5.385870,28000
1996-03-01,6.000000,6.045000,5.875000,6.002500,5.388114,46000
1996-03-04,6.002500,5.937500,5.877500,5.880000,5.278154,32000
1996-03-05,5.880000,5.880000,5.880000,5.880000,5.278154,0
1996-03-06,5.900000,5.900000,5.752500,5.825000,5.228782,38000
1996-03-07,5.825000,5.800000,5.650000,5.750000,5.161458,26000
1996-03-08,5.750000,5.870000,5.495000,5.855000,5.255711,76000
1996-03-11,5.855000,5.800000,5.667500,5.800000,5.206341,58000
1996-03-12,5.800000,5.750000,5.650000,5.660000,5.080670,54000
1996-03-13,5.660000,5.850000,5.710000,5.810000,5.215317,46000
1996-03-14,5.810000,5.937500,5.775000,5.895000,5.291618,16000
1996-03-15,5.895000,5.950000,5.850000,5.850000,5.251224,60000
1996-03-18,5.600000,5.750000,5.600000,5.750000,5.161458,66000
1996-03-19,5.750000,5.800000,5.700000,5.740000,5.152483,50000
1996-03-20,5.740000,5.740000,5.740000,5.740000,5.152483,0
1996-03-21,5.740000,5.900000,5.800000,5.850000,5.251224,38000
1996-03-22,5.850000,5.750000,5.710000,5.710000,5.125553,32000
1996-03-25,5.700000,5.725000,5.700000,5.725000,5.139019,4000
1996-03-26,5.552500,5.625000,5.550000,5.555000,4.986417,48000
1996-03-27,5.555000,5.750000,5.550000,5.602500,5.029056,48000
1996-03-28,5.602500,5.750000,5.600000,5.690000,5.107601,34000
1996-03-29,5.690000,5.950000,5.720000,5.832500,5.235515,82000
1996-04-01,5.947500,5.947500,5.745000,5.745000,5.156970,18000
1996-04-02,5.750000,5.750000,5.650000,5.692500,5.109845,18000
1996-04-03,5.692500,5.775000,5.750000,5.775000,5.183901,16000
1996-04-04,5.775000,5.800000,5.760000,5.760000,5.170436,22000
1996-04-05,5.760000,5.760000,5.760000,5.760000,5.170436,0
1996-04-08,5.760000,5.795000,5.662500,5.702500,5.118820,58000
1996-04-09,5.752500,5.800000,5.750000,5.762500,5.172678,40000
1996-04-10,5.840000,5.847500,5.762500,5.825000,5.228782,38000
1996-04-11,5.750000,5.822500,5.750000,5.757500,5.168192,28000
1996-04-12,5.757500,5.825000,5.717500,5.750000,5.161458,636000
1996-04-15,5.750000,5.757500,5.662500,5.700000,5.116577,84000
1996-04-16,5.700000,5.825000,5.700000,5.787500,5.195120,312000
1996-04-17,5.837500,5.937500,5.812500,5.915000,5.309570,28000
1996-04-18,6.100000,6.195000,5.937500,5.967500,5.356697,84000
1996-04-19,5.967500,6.122500,6.002500,6.100000,5.475635,220000
1996-04-22,6.100000,6.275000,6.087500,6.105000,5.480124,310000
1996-04-23,6.105000,6.200000,6.002500,6.162500,5.531739,112000
1996-04-24,6.250000,6.375000,6.175000,6.262500,5.621502,112000
1996-04-25,6.262500,6.325000,6.162500,6.167500,5.536226,74000
1996-04-26,6.167500,6.200000,5.952500,6.047500,5.428508,18000
1996-04-29,6.047500,6.085000,5.927500,6.000000,5.385870,26000
1996-04-30,6.000000,5.962500,5.850000,5.880000,5.278154,30000
1996-05-01,6.000000,6.000000,5.860000,5.862500,5.262445,32000
1996-05-02,5.850000,5.862500,5.762500,5.815000,5.219807,36000
1996-05-03,5.815000,5.900000,5.762500,5.860000,5.260201,44000
1996-05-06,5.860000,5.800000,5.725000,5.750000,5.161458,50000
1996-05-07,5.750000,5.792500,5.625000,5.665000,5.085158,42000
1996-05-08,5.700000,5.750000,5.690000,5.750000,5.161458,24000
1996-05-09,5.750000,5.700000,5.650000,5.675000,5.094137,14000
1996-05-10,5.675000,5.502500,5.475000,5.500000,4.937048,18000
1996-05-13,5.500000,5.575000,5.402500,5.410000,4.856260,48000
1996-05-14,5.410000,5.475000,5.400000,5.467500,4.907874,52000
1996-05-15,5.467500,5.585000,5.502500,5.502500,4.939292,18000
1996-05-16,5.502500,5.750000,5.637500,5.662500,5.082915,36000
1996-05-17,5.575000,5.625000,5.575000,5.600000,5.026812,40000
1996-05-20,5.600000,5.500000,5.430000,5.430000,4.874212,24000
1996-05-21,5.350000,5.350000,5.195000,5.250000,4.712636,68000
1996-05-22,5.250000,5.250000,5.102500,5.202500,4.669997,30000
1996-05-23,5.202500,5.262500,5.202500,5.202500,4.669997,12000
1996-05-24,5.202500,5.270000,5.200000,5.237500,4.701416,26000
