Date,Open,High,Low,Close,Adj Close,Volume
01-02-1996,2.59,2.8,2.6,2.78,2.229558,424000
02-02-1996,2.78,2.995,2.8,2.915,2.337827,819000
05-02-1996,2.915,3.1,2.95,2.995,2.401987,906000
06-02-1996,2.995,3.05,2.95,2.975,2.385948,888000
07-02-1996,2.975,2.925,2.825,2.865,2.297728,586000
08-02-1996,2.865,3.15,2.885,3.045,2.442087,667000
09-02-1996,3.045,3.655,3.35,3.65,2.927298,1720000
12-02-1996,3.65,3.795,3.45,3.51,2.815017,2851000
13-02-1996,3.6,3.6,3.325,3.45,2.766897,1451000
14-02-1996,3.45,3.8,3.59,3.71,2.975417,2464000
15-02-1996,3.71,3.77,3.67,3.685,2.955367,1191000
16-02-1996,3.685,3.675,3.51,3.56,2.855117,1396000
19-02-1996,3.56,3.65,3.5,3.515,2.819028,1297000
20-02-1996,3.515,3.515,3.305,3.365,2.698727,1361000
21-02-1996,3.365,3.365,3.365,3.365,2.698727,0
22-02-1996,3.365,3.475,3.4,3.425,2.746848,848000
23-02-1996,3.425,3.5,3.4,3.42,2.742837,687000
26-02-1996,3.42,3.475,3.375,3.385,2.714767,647000
27-02-1996,3.39,3.425,3.3,3.395,2.722787,841000
28-02-1996,3.395,3.445,3.305,3.325,2.666647,422000
29-02-1996,3.3,3.3,3,3.065,2.458128,1275000
01-03-1996,3.065,3.15,3,3.11,2.494218,732000
04-03-1996,3.11,3.1,3.05,3.065,2.458128,647000
05-03-1996,3.065,3.065,3.065,3.065,2.458128,0
06-03-1996,3.065,3.15,3.08,3.1,2.486197,360000
07-03-1996,3.1,3.15,3.025,3.06,2.454118,486000
08-03-1996,3.06,3.07,3,3.05,2.446097,387000
11-03-1996,3.05,3.045,2.975,2.995,2.401987,324000
12-03-1996,2.995,2.995,2.93,2.955,2.369908,400000
13-03-1996,2.955,3.1,3,3.08,2.470158,486000
14-03-1996,3.08,3.15,3.045,3.07,2.462137,529000
15-03-1996,3.1,3.1,3,3,2.405998,807000
18-03-1996,3,3.025,2.93,2.985,2.393968,388000
19-03-1996,2.985,3,2.9,2.955,2.369908,617000
20-03-1996,2.955,2.955,2.955,2.955,2.369908,0
21-03-1996,2.955,3.015,2.95,3.005,2.410007,643000
22-03-1996,3.005,3.02,2.935,2.995,2.401987,194000
25-03-1996,2.995,3.05,2.98,3.025,2.426048,413000
26-03-1996,3.025,3.08,2.98,3.045,2.442087,643000
27-03-1996,3.045,3.11,3.03,3.1,2.486197,795000
28-03-1996,3.1,3.275,3.13,3.21,2.574418,1124000
29-03-1996,3.21,3.31,3.2,3.245,2.602487,1356000
01-04-1996,3.245,3.3,3.24,3.29,2.638577,963000
02-04-1996,3.29,3.45,3.28,3.4,2.726797,1835000
03-04-1996,3.4,3.6,3.4,3.49,2.798977,2082000
04-04-1996,3.49,3.455,3.35,3.405,2.730807,1134000
