Date,Open,High,Low,Close,Adj Close,Volume
01-01-1996,0.794921,0.796679,0.791015,0.796679,0.533122,204800
02-01-1996,0.794921,0.798828,0.793457,0.793457,0.530966,204800
03-01-1996,0.798828,0.798828,0.798828,0.798828,0.534559,102400
04-01-1996,0.791015,0.794921,0.791015,0.793554,0.531031,307200
05-01-1996,0.784179,0.784179,0.784179,0.784179,0.524757,51200
08-01-1996,0.784179,0.791015,0.785156,0.789062,0.528024,358400
09-01-1996,0.789062,0.78125,0.771484,0.780273,0.522143,870400
10-01-1996,0.780273,0.77539,0.771484,0.773437,0.517569,358400
11-01-1996,0.779296,0.791015,0.773437,0.791015,0.529332,819200
12-01-1996,0.787109,0.787109,0.78125,0.786621,0.526391,358400
15-01-1996,0.776367,0.785156,0.776367,0.777832,0.520509,307200
16-01-1996,0.777832,0.78125,0.71289,0.78125,0.522797,358400
17-01-1996,0.78125,0.783203,0.771484,0.773828,0.517831,768000
18-01-1996,0.773828,0.776367,0.769531,0.776367,0.519529,204800
19-01-1996,0.771484,0.771484,0.768066,0.768554,0.514301,512000
22-01-1996,0.771484,0.776367,0.771484,0.776367,0.519529,204800
23-01-1996,0.767578,0.78125,0.767578,0.773925,0.517895,665600
24-01-1996,0.773925,0.770507,0.752929,0.770507,0.515608,409600
25-01-1996,0.770996,0.770996,0.767578,0.767578,0.513648,102400
26-01-1996,0.767578,0.767578,0.767578,0.767578,0.513648,0
29-01-1996,0.765625,0.765625,0.763183,0.763183,0.510707,102400
30-01-1996,0.763183,0.77539,0.771484,0.77246,0.516915,1433600
31-01-1996,0.77246,0.78125,0.767578,0.78125,0.522797,460800
01-02-1996,0.78125,0.810546,0.78125,0.810546,0.542401,819200
02-02-1996,0.810546,0.839843,0.810546,0.839746,0.561941,2355200
05-02-1996,0.839746,0.841796,0.82041,0.839843,0.562006,819200
06-02-1996,0.839843,0.883789,0.839843,0.859375,0.575077,1382400
07-02-1996,0.859375,0.84375,0.833984,0.836523,0.559784,972800
08-02-1996,0.849609,0.888671,0.849609,0.888671,0.594681,768000
09-02-1996,0.888671,0.927734,0.830078,0.922558,0.617357,1382400
12-02-1996,0.922558,0.935546,0.908203,0.912109,0.610365,819200
13-02-1996,0.9375,0.957031,0.9375,0.957031,0.640426,2048000
14-02-1996,0.957031,1.000976,0.951171,0.993164,0.664605,972800
